X,Y,Z
0.011220965534448624,8.903167593928359e+74,2139.0
0.02435915917158127,4.97896295048938e+73,1712.0
0.021927233785390854,1.651329516658124e+75,1744.0
0.02472396194934845,1.78387971204397e+75,1719.0
0.006309971213340759,4.841896424837853e+74,2168.0
0.003956995904445648,3.8917588868239965e+74,2075.0
0.022608187049627304,1.5071285264001753e+75,1875.0
0.0003802552819252014,1.9925557382757695e+74,1662.0
0.018496129661798477,1.168480754081776e+75,1871.0
0.02399076521396637,1.4503696428420364e+75,1828.0
0.011643096804618835,6.85476486533052e+74,1961.0
0.019833523780107498,1.1188787658056856e+75,1878.0
0.01638469099998474,8.813558123196084e+74,1953.0
0.00840732827782631,3.9778517021130086e+74,2002.0
0.011489227414131165,5.819334683244733e+74,2169.0
0.01678292825818062,7.846931881800598e+74,1881.0
0.009642627090215683,3.6564675698832393e+74,2029.0
0.01521802693605423,6.243744634066218e+74,1878.0
0.0007231831550598145,7.44001030918316e+74,2109.0
0.015459395945072174,5.616110605267751e+74,1950.0
0.010084332898259163,3.797286920110834e+74,2268.0
4.629790782928467e-05,6.338930500167127e+74,2204.0
0.02226874604821205,7.792751016182559e+74,1974.0
0.006574124097824097,1.515537225925873e+74,2321.0
0.0076906681060791016,1.2863992472124262e+73,2225.0
0.003134932368993759,6.774368147573344e+74,2336.0
0.01904856413602829,4.658631334577496e+74,2127.0
0.007025785744190216,7.970231580286011e+74,2369.0
0.020209375768899918,4.388244637463309e+74,2277.0
0.008131831884384155,7.855885819287692e+74,2540.0
0.019492097198963165,3.29738480502986e+74,2404.0
0.0024733394384384155,8.801833781589473e+74,2296.0
0.0027190521359443665,4.757001709578729e+74,2731.0
0.01980672776699066,2.268811076580462e+74,2498.0
0.02843451499938965,5.260737529075772e+74,2469.0
0.010515660047531128,6.982897943054421e+74,2643.0
0.003938242793083191,4.196007276952125e+74,2757.0
0.01448514312505722,7.825120206549006e+74,2555.0
0.028887607157230377,3.6464621944761264e+74,2397.0
0.028995800763368607,3.2410191053339147e+74,2358.0
0.0281439907848835,2.502674594745727e+74,2342.0
0.016731005162000656,7.239852116341167e+74,2398.0
0.012967053800821304,5.639375960843636e+74,2429.0
0.02363118901848793,8.781790678839247e+74,2269.0
